Time(s)	Extension(mm)	Load(N)
0.001	0.000	0.001
0.024	0.000	0.001
0.071	0.000	0.000
0.127	0.000	0.001
0.172	0.000	0.001
0.224	0.000	0.001
0.271	0.000	0.001
0.324	0.000	0.001
0.377	0.000	0.000
0.423	0.000	0.001
0.476	0.000	0.001
0.531	-0.000	0.000
0.592	-0.000	0.001
0.644	-0.010	0.001
0.694	-0.010	0.000
0.741	-0.010	0.001
0.794	-0.010	0.001
0.842	-0.020	0.001
0.892	-0.020	0.001
0.940	-0.020	0.000
0.994	-0.020	0.001
1.040	-0.030	0.001
1.090	-0.030	0.001
1.144	-0.030	0.001
1.200	-0.030	0.001
1.242	-0.040	0.001
1.292	-0.040	0.001
1.341	-0.040	0.000
1.392	-0.040	0.001
1.443	-0.050	0.001
1.500	-0.050	0.001
1.542	-0.050	0.001
1.595	-0.050	0.001
1.644	-0.060	0.001
1.692	-0.060	0.001
1.744	-0.060	0.001
1.794	-0.060	0.000
1.845	-0.070	0.001
1.892	-0.070	0.001
1.952	-0.070	0.001
1.999	-0.070	0.001
2.043	-0.080	0.001
2.094	-0.080	0.001
2.144	-0.080	0.001
2.191	-0.080	0.001
2.244	-0.090	0.001
2.290	-0.090	0.001
2.342	-0.090	0.001
2.394	-0.090	0.000
2.440	-0.100	0.001
2.500	-0.100	0.001
2.542	-0.100	0.001
2.594	-0.100	0.001
2.642	-0.110	0.001
2.691	-0.110	0.001
2.743	-0.110	0.001
2.790	-0.110	0.001
2.850	-0.120	0.001
2.892	-0.120	0.001
2.949	-0.120	0.001
2.992	-0.120	0.001
3.042	-0.130	0.001
3.093	-0.130	0.001
3.140	-0.130	0.001
3.192	-0.130	0.001
3.243	-0.140	0.000
3.295	-0.140	0.001
3.342	-0.140	0.001
3.392	-0.140	0.001
3.442	-0.150	0.001
3.490	-0.150	0.001
3.542	-0.150	0.001
3.592	-0.150	0.001
3.644	-0.160	0.001
3.692	-0.160	0.001
3.751	-0.160	0.001
3.792	-0.160	0.001
3.840	-0.170	0.001
3.892	-0.170	0.001
3.942	-0.170	0.001
3.994	-0.170	0.001
4.042	-0.180	0.001
4.092	-0.180	0.001
4.144	-0.180	0.001
4.200	-0.180	0.001
4.242	-0.190	0.001
4.292	-0.190	0.001
4.344	-0.190	0.000
4.391	-0.190	0.001
4.443	-0.200	0.001
4.492	-0.200	0.001
4.544	-0.200	0.000
4.592	-0.200	0.000
4.651	-0.210	-0.001
4.694	-0.210	-0.001
4.744	-0.210	-0.002
4.799	-0.210	-0.002
4.850	-0.220	-0.003
4.892	-0.220	-0.003
4.944	-0.220	-0.004
4.990	-0.220	-0.004
5.041	-0.230	-0.005
5.099	-0.230	-0.005
5.142	-0.230	-0.005
5.192	-0.230	-0.006
5.242	-0.240	-0.006
5.299	-0.240	-0.007
5.342	-0.240	-0.008
5.392	-0.240	-0.008
5.443	-0.250	-0.009
5.493	-0.250	-0.009
5.552	-0.250	-0.009
5.595	-0.250	-0.010
5.643	-0.260	-0.010
5.694	-0.260	-0.011
5.744	-0.260	-0.012
5.799	-0.260	-0.012
5.850	-0.270	-0.013
5.892	-0.270	-0.013
5.942	-0.270	-0.013
5.995	-0.270	-0.014
6.042	-0.280	-0.015
6.092	-0.280	-0.015
6.143	-0.280	-0.016
6.193	-0.280	-0.016
6.244	-0.290	-0.017
6.295	-0.290	-0.017
6.342	-0.290	-0.018
6.394	-0.290	-0.018
6.452	-0.300	-0.019
6.499	-0.300	-0.020
6.549	-0.300	-0.020
6.592	-0.300	-0.021
6.642	-0.310	-0.021
6.694	-0.310	-0.022
6.741	-0.310	-0.022
6.793	-0.310	-0.023
6.842	-0.320	-0.024
6.902	-0.320	-0.024
6.944	-0.320	-0.025
6.994	-0.320	-0.026
7.041	-0.330	-0.026
7.093	-0.330	-0.027
7.145	-0.330	-0.027
7.194	-0.330	-0.028
7.241	-0.340	-0.029
7.292	-0.340	-0.030
7.350	-0.340	-0.031
7.393	-0.340	-0.031
7.449	-0.350	-0.032
7.492	-0.350	-0.032
7.542	-0.350	-0.033
7.593	-0.350	-0.034
7.643	-0.360	-0.034
7.695	-0.360	-0.035
7.749	-0.360	-0.036
7.792	-0.360	-0.037
7.844	-0.370	-0.037
7.894	-0.370	-0.038
7.949	-0.370	-0.038
7.999	-0.370	-0.038
8.042	-0.380	-0.039
8.092	-0.380	-0.039
8.144	-0.380	-0.040
8.191	-0.380	-0.040
8.249	-0.390	-0.041
8.292	-0.390	-0.041
8.342	-0.390	-0.041
8.394	-0.390	-0.042
8.444	-0.400	-0.042
8.495	-0.400	-0.043
8.542	-0.400	-0.043
8.594	-0.400	-0.044
8.644	-0.410	-0.044
8.703	-0.410	-0.045
8.745	-0.410	-0.045
8.795	-0.410	-0.045
8.841	-0.420	-0.046
8.892	-0.420	-0.047
8.944	-0.420	-0.047
8.994	-0.420	-0.048
9.045	-0.430	-0.048
9.094	-0.430	-0.048
9.144	-0.430	-0.049
9.190	-0.430	-0.049
9.243	-0.440	-0.050
9.294	-0.440	-0.050
9.344	-0.440	-0.051
9.394	-0.440	-0.052
9.444	-0.450	-0.052
9.500	-0.450	-0.052
9.540	-0.450	-0.053
9.592	-0.450	-0.053
9.644	-0.460	-0.054
9.693	-0.460	-0.055
9.744	-0.460	-0.056
9.794	-0.460	-0.056
9.845	-0.470	-0.057
9.895	-0.470	-0.057
9.942	-0.470	-0.058
9.992	-0.470	-0.059
10.052	-0.480	-0.060
10.094	-0.480	-0.062
10.144	-0.480	-0.063
10.194	-0.480	-0.064
10.244	-0.490	-0.065
10.299	-0.490	-0.066
10.342	-0.490	-0.067
10.394	-0.490	-0.068
10.444	-0.500	-0.069
10.502	-0.500	-0.071
10.545	-0.500	-0.072
10.594	-0.500	-0.073
10.641	-0.510	-0.074
10.693	-0.510	-0.075
10.745	-0.510	-0.076
10.794	-0.510	-0.078
10.849	-0.520	-0.079
10.891	-0.520	-0.081
10.949	-0.520	-0.082
10.992	-0.520	-0.083
11.044	-0.530	-0.084
11.095	-0.530	-0.085
11.144	-0.530	-0.086
11.199	-0.530	-0.087
11.249	-0.540	-0.089
11.292	-0.540	-0.090
11.342	-0.540	-0.092
11.394	-0.540	-0.093
11.449	-0.550	-0.094
11.494	-0.550	-0.095
11.541	-0.550	-0.096
11.590	-0.550	-0.097
11.642	-0.560	-0.099
11.692	-0.560	-0.101
11.744	-0.560	-0.102
11.793	-0.560	-0.103
11.852	-0.570	-0.104
11.901	-0.570	-0.105
11.943	-0.570	-0.106
12.000	-0.570	-0.107
12.042	-0.580	-0.109
12.099	-0.580	-0.111
12.144	-0.580	-0.112
12.200	-0.580	-0.113
12.243	-0.590	-0.114
12.304	-0.590	-0.115
12.342	-0.590	-0.116
12.394	-0.590	-0.118
12.442	-0.600	-0.119
12.500	-0.600	-0.121
12.544	-0.600	-0.122
12.595	-0.600	-0.123
12.642	-0.610	-0.124
12.694	-0.610	-0.125
12.750	-0.610	-0.127
12.794	-0.610	-0.128
12.842	-0.620	-0.130
12.900	-0.620	-0.132
12.950	-0.620	-0.133
12.994	-0.620	-0.134
13.050	-0.630	-0.135
13.094	-0.630	-0.136
13.150	-0.630	-0.138
13.195	-0.630	-0.139
13.242	-0.640	-0.141
13.294	-0.640	-0.142
13.351	-0.640	-0.143
13.392	-0.640	-0.145
13.450	-0.650	-0.145
13.492	-0.650	-0.147
13.549	-0.650	-0.148
13.595	-0.650	-0.149
13.655	-0.660	-0.151
13.693	-0.660	-0.152
13.745	-0.660	-0.154
13.794	-0.660	-0.155
13.845	-0.670	-0.156
13.902	-0.670	-0.157
13.951	-0.670	-0.159
13.995	-0.670	-0.160
14.050	-0.680	-0.162
14.102	-0.680	-0.163
14.149	-0.680	-0.165
14.201	-0.680	-0.166
14.246	-0.690	-0.167
14.294	-0.690	-0.168
14.351	-0.690	-0.169
14.393	-0.690	-0.170
14.450	-0.700	-0.171
14.493	-0.700	-0.173
14.553	-0.700	-0.174
14.601	-0.700	-0.175
14.650	-0.710	-0.175
14.695	-0.710	-0.176
14.746	-0.710	-0.177
14.793	-0.710	-0.177
14.845	-0.720	-0.178
14.894	-0.720	-0.179
14.945	-0.720	-0.180
15.003	-0.720	-0.180
15.051	-0.730	-0.180
15.101	-0.730	-0.181
15.145	-0.730	-0.181
15.201	-0.730	-0.182
15.246	-0.740	-0.183
15.301	-0.740	-0.184
15.345	-0.740	-0.184
15.393	-0.740	-0.185
15.454	-0.750	-0.185
15.501	-0.750	-0.186
15.544	-0.750	-0.187
15.601	-0.750	-0.188
15.643	-0.760	-0.189
15.701	-0.760	-0.190
15.745	-0.760	-0.191
15.793	-0.760	-0.191
15.845	-0.770	-0.192
15.905	-0.770	-0.193
15.944	-0.770	-0.194
15.995	-0.770	-0.194
16.044	-0.780	-0.195
16.101	-0.780	-0.197
16.145	-0.780	-0.197
16.200	-0.780	-0.198
16.245	-0.790	-0.198
16.300	-0.790	-0.199
16.351	-0.790	-0.200
16.396	-0.790	-0.201
16.445	-0.800	-0.203
16.501	-0.800	-0.204
16.544	-0.800	-0.205
16.601	-0.800	-0.205
16.643	-0.810	-0.206
16.700	-0.810	-0.207
16.743	-0.810	-0.209
16.801	-0.810	-0.210
16.845	-0.820	-0.212
16.900	-0.820	-0.213
16.943	-0.820	-0.214
16.995	-0.820	-0.216
17.052	-0.830	-0.216
17.094	-0.830	-0.217
17.150	-0.830	-0.219
17.196	-0.830	-0.220
17.255	-0.840	-0.222
17.293	-0.840	-0.224
17.346	-0.840	-0.225
17.401	-0.840	-0.226
17.443	-0.850	-0.227
17.499	-0.850	-0.229
17.545	-0.850	-0.230
17.601	-0.850	-0.231
17.643	-0.860	-0.233
17.704	-0.860	-0.235
17.751	-0.860	-0.236
17.793	-0.860	-0.237
17.845	-0.870	-0.238
17.895	-0.870	-0.240
17.951	-0.870	-0.241
17.993	-0.870	-0.243
18.046	-0.880	-0.244
18.101	-0.880	-0.246
18.153	-0.880	-0.247
18.200	-0.880	-0.249
18.245	-0.890	-0.250
18.301	-0.890	-0.251
18.343	-0.890	-0.253
18.395	-0.890	-0.254
18.451	-0.900	-0.256
18.494	-0.900	-0.258
18.546	-0.900	-0.259
18.595	-0.900	-0.260
18.651	-0.910	-0.262
18.693	-0.910	-0.263
18.746	-0.910	-0.264
18.801	-0.910	-0.266
18.845	-0.920	-0.268
18.896	-0.920	-0.270
18.944	-0.920	-0.271
19.001	-0.920	-0.272
19.051	-0.930	-0.274
19.095	-0.930	-0.275
19.151	-0.930	-0.276
19.195	-0.930	-0.278
19.246	-0.940	-0.280
19.293	-0.940	-0.281
19.351	-0.940	-0.283
19.395	-0.940	-0.284
19.446	-0.950	-0.285
19.493	-0.950	-0.287
19.544	-0.950	-0.288
19.596	-0.950	-0.290
19.643	-0.960	-0.292
19.700	-0.960	-0.293
19.743	-0.960	-0.295
19.797	-0.960	-0.296
19.853	-0.970	-0.297
19.894	-0.970	-0.299
19.955	-0.970	-0.300
19.993	-0.970	-0.302
20.050	-0.980	-0.304
20.093	-0.980	-0.306
20.145	-0.980	-0.307
20.201	-0.980	-0.308
20.243	-0.990	-0.309
20.300	-0.990	-0.311
20.343	-0.990	-0.312
20.400	-0.990	-0.314
20.444	-1.000	-0.316
20.496	-1.000	-0.318
20.552	-1.000	-0.319
20.595	-1.000	-0.321
20.651	-1.010	-0.322
20.694	-1.010	-0.323
20.751	-1.010	-0.325
20.795	-1.010	-0.327
20.843	-1.020	-0.328
20.895	-1.020	-0.330
20.950	-1.020	-0.332
20.994	-1.020	-0.333
21.046	-1.030	-0.334
21.094	-1.030	-0.335
21.151	-1.030	-0.337
21.195	-1.030	-0.339
21.246	-1.040	-0.341
21.302	-1.040	-0.342
21.345	-1.040	-0.344
21.401	-1.040	-0.345
21.445	-1.050	-0.346
21.501	-1.050	-0.348
21.545	-1.050	-0.349
21.601	-1.050	-0.351
21.646	-1.060	-0.353
21.701	-1.060	-0.355
21.752	-1.060	-0.356
21.795	-1.060	-0.358
21.844	-1.070	-0.359
21.901	-1.070	-0.360
21.944	-1.070	-0.362
22.000	-1.070	-0.364
22.052	-1.080	-0.366
22.096	-1.080	-0.367
22.151	-1.080	-0.369
22.196	-1.080	-0.370
22.243	-1.090	-0.372
22.295	-1.090	-0.373
22.352	-1.090	-0.375
22.394	-1.090	-0.376
22.451	-1.100	-0.378
22.493	-1.100	-0.380
22.551	-1.100	-0.382
22.595	-1.100	-0.383
22.656	-1.110	-0.384
22.694	-1.110	-0.385
22.745	-1.110	-0.387
22.793	-1.110	-0.389
22.845	-1.120	-0.391
22.901	-1.120	-0.393
22.950	-1.120	-0.394
22.994	-1.120	-0.395
23.045	-1.130	-0.396
23.094	-1.130	-0.398
23.146	-1.130	-0.399
23.201	-1.130	-0.401
23.244	-1.140	-0.403
23.301	-1.140	-0.405
23.345	-1.140	-0.406
23.400	-1.140	-0.407
23.445	-1.150	-0.409
23.500	-1.150	-0.410
23.551	-1.150	-0.412
23.595	-1.150	-0.414
23.644	-1.160	-0.416
23.701	-1.160	-0.417
23.752	-1.160	-0.419
23.796	-1.160	-0.420
23.851	-1.170	-0.421
23.896	-1.170	-0.423
23.950	-1.170	-0.424
23.995	-1.170	-0.426
24.052	-1.180	-0.428
24.094	-1.180	-0.430
24.152	-1.180	-0.431
24.193	-1.180	-0.432
24.246	-1.190	-0.434
24.301	-1.190	-0.435
24.345	-1.190	-0.437
24.394	-1.190	-0.439
24.454	-1.200	-0.441
24.501	-1.200	-0.442
24.545	-1.200	-0.444
24.602	-1.200	-0.445
24.643	-1.210	-0.447
24.696	-1.210	-0.448
24.745	-1.210	-0.450
24.802	-1.210	-0.451
24.844	-1.220	-0.453
24.905	-1.220	-0.455
24.944	-1.220	-0.457
24.995	-1.220	-0.458
25.052	-1.230	-0.459
25.096	-1.230	-0.461
25.144	-1.230	-0.463
25.196	-1.230	-0.464
25.252	-1.240	-0.466
25.295	-1.240	-0.468
25.355	-1.240	-0.470
25.394	-1.240	-0.471
25.451	-1.250	-0.472
25.495	-1.250	-0.474
25.546	-1.250	-0.475
25.594	-1.250	-0.477
25.646	-1.260	-0.479
25.694	-1.260	-0.481
25.745	-1.260	-0.483
25.802	-1.260	-0.484
25.850	-1.270	-0.485
25.902	-1.270	-0.486
25.946	-1.270	-0.488
26.001	-1.270	-0.490
26.045	-1.280	-0.492
26.096	-1.280	-0.494
26.144	-1.280	-0.496
26.201	-1.280	-0.497
26.253	-1.290	-0.498
26.300	-1.290	-0.500
26.352	-1.290	-0.501
26.395	-1.290	-0.503
26.451	-1.300	-0.505
26.495	-1.300	-0.507
26.544	-1.300	-0.509
26.600	-1.300	-0.510
26.652	-1.310	-0.511
26.703	-1.310	-0.512
26.751	-1.310	-0.514
26.794	-1.310	-0.516
26.850	-1.320	-0.518
26.895	-1.320	-0.520
26.951	-1.320	-0.522
26.993	-1.320	-0.523
27.051	-1.330	-0.524
27.092	-1.330	-0.526
27.154	-1.330	-0.527
27.202	-1.330	-0.529
27.250	-1.340	-0.531
27.294	-1.340	-0.533
27.345	-1.340	-0.535
27.393	-1.340	-0.536
27.445	-1.350	-0.538
27.502	-1.350	-0.539
27.545	-1.350	-0.541
27.603	-1.350	-0.543
27.650	-1.360	-0.545
27.701	-1.360	-0.547
27.746	-1.360	-0.548
27.801	-1.360	-0.549
27.845	-1.370	-0.551
27.900	-1.370	-0.552
27.944	-1.370	-0.554
28.002	-1.370	-0.556
28.053	-1.380	-0.558
28.101	-1.380	-0.560
28.143	-1.380	-0.561
28.200	-1.380	-0.563
28.251	-1.390	-0.564
28.295	-1.390	-0.566
28.343	-1.390	-0.567
28.401	-1.390	-0.569
28.442	-1.400	-0.571
28.504	-1.400	-0.573
28.552	-1.400	-0.575
28.594	-1.400	-0.576
28.651	-1.410	-0.578
28.696	-1.410	-0.579
28.752	-1.410	-0.581
28.795	-1.410	-0.583
28.851	-1.420	-0.585
28.894	-1.420	-0.587
28.955	-1.420	-0.589
28.993	-1.420	-0.590
29.051	-1.430	-0.591
29.096	-1.430	-0.593
29.150	-1.430	-0.594
29.194	-1.430	-0.596
29.246	-1.440	-0.598
29.293	-1.440	-0.600
29.346	-1.440	-0.602
29.392	-1.440	-0.603
29.451	-1.450	-0.604
29.492	-1.450	-0.606
29.546	-1.450	-0.608
29.602	-1.450	-0.610
29.645	-1.460	-0.612
29.701	-1.460	-0.613
29.745	-1.460	-0.615
29.793	-1.460	-0.616
29.855	-1.470	-0.618
29.902	-1.470	-0.619
29.945	-1.470	-0.621
30.001	-1.470	-0.623
30.043	-1.480	-0.625
30.100	-1.480	-0.627
30.146	-1.480	-0.628
30.202	-1.480	-0.630
30.245	-1.490	-0.631
30.305	-1.490	-0.632
30.343	-1.490	-0.634
30.396	-1.490	-0.636
30.443	-1.500	-0.638
30.501	-1.500	-0.640
30.545	-1.500	-0.642
30.600	-1.500	-0.643
30.644	-1.510	-0.644
30.696	-1.510	-0.646
30.752	-1.510	-0.647
30.796	-1.510	-0.649
30.843	-1.520	-0.651
30.901	-1.520	-0.653
30.951	-1.520	-0.655
30.996	-1.520	-0.656
31.053	-1.530	-0.658
31.097	-1.530	-0.659
31.152	-1.530	-0.661
31.196	-1.530	-0.663
31.243	-1.540	-0.665
31.297	-1.540	-0.667
31.353	-1.540	-0.669
31.396	-1.540	-0.670
31.452	-1.550	-0.671
31.494	-1.550	-0.673
31.552	-1.550	-0.675
31.597	-1.550	-0.677
31.646	-1.560	-0.679
31.696	-1.560	-0.681
31.752	-1.560	-0.682
31.795	-1.560	-0.684
31.847	-1.570	-0.685
31.894	-1.570	-0.686
31.953	-1.570	-0.688
31.997	-1.570	-0.691
32.052	-1.580	-0.693
32.104	-1.580	-0.695
32.151	-1.580	-0.696
32.203	-1.580	-0.698
