28.952	-25.23	0	-0.02523	0.028952	0
28.969	-25.204	0	-0.025204	0.028969	0
28.99	-25.174	0	-0.025174	0.02899	0
29.007	-25.148	0	-0.025148	0.029007	0
29.026	-25.12	0	-0.02512	0.029026	0
29.045	-25.093	0	-0.025093	0.029045	0
29.063	-25.066	0	-0.025066	0.029063	0
29.082	-25.039	0	-0.025039	0.029082	0
29.101	-25.011	0	-0.025011	0.029101	0
29.118	-24.986	0	-0.024986	0.029118	0
29.137	-24.957	0	-0.024957	0.029137	0
29.154	-24.931	0	-0.024931	0.029154	0
29.174	-24.902	0	-0.024902	0.029174	0
29.193	-24.874	0	-0.024874	0.029193	0
29.211	-24.847	0	-0.024847	0.029211	0
29.228	-24.821	0	-0.024821	0.029228	0
29.247	-24.792	0	-0.024792	0.029247	0
29.265	-24.765	0	-0.024765	0.029265	0
29.283	-24.738	0	-0.024738	0.029283	0
29.302	-24.709	0	-0.024709	0.029302	0
29.319	-24.684	0	-0.024684	0.029319	0
29.339	-24.654	0	-0.024654	0.029339	0
29.355	-24.629	0	-0.024629	0.029355	0
29.374	-24.6	0	-0.0246	0.029374	0
29.392	-24.573	0	-0.024573	0.029392	0
29.41	-24.545	0	-0.024545	0.02941	0
29.427	-24.518	0	-0.024518	0.029427	0
29.446	-24.489	0	-0.024489	0.029446	0
29.465	-24.461	0	-0.024461	0.029465	0
29.481	-24.435	0	-0.024435	0.029481	0
29.5	-24.406	0	-0.024406	0.0295	0
29.517	-24.38	0	-0.02438	0.029517	0
29.535	-24.351	0	-0.024351	0.029535	0
29.552	-24.325	0	-0.024325	0.029552	0
29.57	-24.297	0	-0.024297	0.02957	0
29.589	-24.267	0	-0.024267	0.029589	0
29.606	-24.241	0	-0.024241	0.029606	0
29.624	-24.212	0	-0.024212	0.029624	0
29.641	-24.186	0	-0.024186	0.029641	0
29.658	-24.158	0	-0.024158	0.029658	0
29.676	-24.129	0	-0.024129	0.029676	0
29.694	-24.101	0	-0.024101	0.029694	0
29.71	-24.076	0	-0.024076	0.02971	0
29.729	-24.046	0	-0.024046	0.029729	0
29.746	-24.019	0	-0.024019	0.029746	0
29.763	-23.992	0	-0.023992	0.029763	0
29.782	-23.962	0	-0.023962	0.029782	0
29.798	-23.935	0	-0.023935	0.029798	0
29.816	-23.906	0	-0.023906	0.029816	0
29.832	-23.88	0	-0.02388	0.029832	0
29.85	-23.852	0	-0.023852	0.02985	0
29.868	-23.823	0	-0.023823	0.029868	0
29.885	-23.796	0	-0.023796	0.029885	0
29.902	-23.767	0	-0.023767	0.029902	0
29.919	-23.739	0	-0.023739	0.029919	0
29.935	-23.713	0	-0.023713	0.029935	0
29.954	-23.683	0	-0.023683	0.029954	0
29.971	-23.655	0	-0.023655	0.029971	0
29.988	-23.627	0	-0.023627	0.029988	0
30.004	-23.6	0	-0.0236	0.030004	0
30.021	-23.572	0	-0.023572	0.030021	0
30.038	-23.543	0	-0.023543	0.030038	0
30.056	-23.514	0	-0.023514	0.030056	0
30.072	-23.488	0	-0.023488	0.030072	0
30.089	-23.459	0	-0.023459	0.030089	0
30.106	-23.432	0	-0.023432	0.030106	0
30.122	-23.404	0	-0.023404	0.030122	0
30.14	-23.375	0	-0.023375	0.03014	0
30.156	-23.347	0	-0.023347	0.030156	0
30.173	-23.318	0	-0.023318	0.030173	0
30.19	-23.29	0	-0.02329	0.03019	0
30.206	-23.263	0	-0.023263	0.030206	0
30.223	-23.234	0	-0.023234	0.030223	0
30.239	-23.206	0	-0.023206	0.030239	0
30.257	-23.177	0	-0.023177	0.030257	0
30.271	-23.152	0	-0.023152	0.030271	0
30.29	-23.12	0	-0.02312	0.03029	0
30.305	-23.094	0	-0.023094	0.030305	0
30.323	-23.064	0	-0.023064	0.030323	0
30.339	-23.036	0	-0.023036	0.030339	0
30.354	-23.01	0	-0.02301	0.030354	0
30.372	-22.979	0	-0.022979	0.030372	0
30.388	-22.952	0	-0.022952	0.030388	0
30.405	-22.922	0	-0.022922	0.030405	0
30.42	-22.895	0	-0.022895	0.03042	0
30.437	-22.867	0	-0.022867	0.030437	0
30.453	-22.838	0	-0.022838	0.030453	0
30.469	-22.811	0	-0.022811	0.030469	0
30.485	-22.781	0	-0.022781	0.030485	0
30.502	-22.752	0	-0.022752	0.030502	0
30.517	-22.725	0	-0.022725	0.030517	0
30.534	-22.695	0	-0.022695	0.030534	0
30.55	-22.668	0	-0.022668	0.03055	0
30.565	-22.64	0	-0.02264	0.030565	0
30.582	-22.611	0	-0.022611	0.030582	0
30.598	-22.582	0	-0.022582	0.030598	0
30.614	-22.553	0	-0.022553	0.030614	0
30.629	-22.526	0	-0.022526	0.030629	0
30.645	-22.498	0	-0.022498	0.030645	0
30.662	-22.467	0	-0.022467	0.030662	0
30.677	-22.439	0	-0.022439	0.030677	0
30.692	-22.412	0	-0.022412	0.030692	0
30.709	-22.383	0	-0.022383	0.030709	0
30.725	-22.354	0	-0.022354	0.030725	0
30.741	-22.325	0	-0.022325	0.030741	0
30.755	-22.298	0	-0.022298	0.030755	0
30.773	-22.266	0	-0.022266	0.030773	0
30.787	-22.241	0	-0.022241	0.030787	0
30.803	-22.211	0	-0.022211	0.030803	0
30.818	-22.184	0	-0.022184	0.030818	0
30.834	-22.154	0	-0.022154	0.030834	0
30.85	-22.124	0	-0.022124	0.03085	0
30.865	-22.097	0	-0.022097	0.030865	0
30.881	-22.067	0	-0.022067	0.030881	0
30.896	-22.039	0	-0.022039	0.030896	0
30.912	-22.009	0	-0.022009	0.030912	0
30.926	-21.983	0	-0.021983	0.030926	0
30.942	-21.953	0	-0.021953	0.030942	0
30.957	-21.925	0	-0.021925	0.030957	0
30.973	-21.894	0	-0.021894	0.030973	0
30.987	-21.867	0	-0.021867	0.030987	0
31.003	-21.838	0	-0.021838	0.031003	0
31.019	-21.807	0	-0.021807	0.031019	0
31.033	-21.781	0	-0.021781	0.031033	0
31.049	-21.751	0	-0.021751	0.031049	0
31.064	-21.722	0	-0.021722	0.031064	0
31.078	-21.695	0	-0.021695	0.031078	0
31.094	-21.665	0	-0.021665	0.031094	0
31.108	-21.637	0	-0.021637	0.031108	0
31.123	-21.608	0	-0.021608	0.031123	0
31.139	-21.578	0	-0.021578	0.031139	0
31.154	-21.549	0	-0.021549	0.031154	0
31.168	-21.521	0	-0.021521	0.031168	0
31.183	-21.492	0	-0.021492	0.031183	0
31.198	-21.463	0	-0.021463	0.031198	0
31.212	-21.436	0	-0.021436	0.031212	0
31.228	-21.404	0	-0.021404	0.031228	0
31.242	-21.377	0	-0.021377	0.031242	0
31.258	-21.346	0	-0.021346	0.031258	0
31.272	-21.318	0	-0.021318	0.031272	0
31.286	-21.29	0	-0.02129	0.031286	0
31.301	-21.26	0	-0.02126	0.031301	0
31.315	-21.232	0	-0.021232	0.031315	0
31.331	-21.201	0	-0.021201	0.031331	0
31.345	-21.173	0	-0.021173	0.031345	0
31.359	-21.144	0	-0.021144	0.031359	0
31.374	-21.114	0	-0.021114	0.031374	0
31.388	-21.087	0	-0.021087	0.031388	0
31.403	-21.056	0	-0.021056	0.031403	0
31.417	-21.028	0	-0.021028	0.031417	0
31.431	-21	0	-0.021	0.031431	0
31.447	-20.968	0	-0.020968	0.031447	0
31.46	-20.942	0	-0.020942	0.03146	0
31.475	-20.911	0	-0.020911	0.031475	0
31.488	-20.883	0	-0.020883	0.031488	0
31.503	-20.852	0	-0.020852	0.031503	0
31.517	-20.825	0	-0.020825	0.031517	0
31.53	-20.797	0	-0.020797	0.03153	0
31.545	-20.766	0	-0.020766	0.031545	0
31.56	-20.735	0	-0.020735	0.03156	0
31.573	-20.709	0	-0.020709	0.031573	0
31.587	-20.679	0	-0.020679	0.031587	0
31.602	-20.648	0	-0.020648	0.031602	0
31.615	-20.621	0	-0.020621	0.031615	0
31.63	-20.589	0	-0.020589	0.03163	0
31.644	-20.561	0	-0.020561	0.031644	0
31.657	-20.533	0	-0.020533	0.031657	0
31.671	-20.503	0	-0.020503	0.031671	0
31.684	-20.475	0	-0.020475	0.031684	0
31.699	-20.445	0	-0.020445	0.031699	0
31.713	-20.415	0	-0.020415	0.031713	0
31.726	-20.386	0	-0.020386	0.031726	0
31.74	-20.356	0	-0.020356	0.03174	0
31.753	-20.329	0	-0.020329	0.031753	0
31.767	-20.299	0	-0.020299	0.031767	0
31.781	-20.268	0	-0.020268	0.031781	0
31.795	-20.239	0	-0.020239	0.031795	0
31.807	-20.212	0	-0.020212	0.031807	0
31.822	-20.181	0	-0.020181	0.031822	0
31.836	-20.151	0	-0.020151	0.031836	0
31.848	-20.123	0	-0.020123	0.031848	0
31.862	-20.093	0	-0.020093	0.031862	0
31.876	-20.062	0	-0.020062	0.031876	0
31.889	-20.035	0	-0.020035	0.031889	0
31.903	-20.004	0	-0.020004	0.031903	0
31.915	-19.976	0	-0.019976	0.031915	0
31.929	-19.946	0	-0.019946	0.031929	0
31.942	-19.916	0	-0.019916	0.031942	0
31.955	-19.888	0	-0.019888	0.031955	0
31.969	-19.856	0	-0.019856	0.031969	0
31.982	-19.828	0	-0.019828	0.031982	0
31.995	-19.8	0	-0.0198	0.031995	0
32.008	-19.769	0	-0.019769	0.032008	0
32.021	-19.74	0	-0.01974	0.032021	0
32.035	-19.709	0	-0.019709	0.032035	0
32.047	-19.682	0	-0.019682	0.032047	0
32.061	-19.65	0	-0.01965	0.032061	0
32.073	-19.623	0	-0.019623	0.032073	0
32.086	-19.592	0	-0.019592	0.032086	0
32.099	-19.563	0	-0.019563	0.032099	0
32.113	-19.532	0	-0.019532	0.032113	0
32.124	-19.505	0	-0.019505	0.032124	0
32.138	-19.475	0	-0.019475	0.032138	0
32.151	-19.444	0	-0.019444	0.032151	0
32.163	-19.415	0	-0.019415	0.032163	0
32.175	-19.387	0	-0.019387	0.032175	0
32.189	-19.356	0	-0.019356	0.032189	0
32.202	-19.324	0	-0.019324	0.032202	0
32.213	-19.299	0	-0.019299	0.032213	0
32.227	-19.267	0	-0.019267	0.032227	0
32.239	-19.238	0	-0.019238	0.032239	0
32.252	-19.208	0	-0.019208	0.032252	0
32.264	-19.178	0	-0.019178	0.032264	0
