-0.024149,0.02826,-0
-0.024142,0.028266,-0
-0.024131,0.028274,-0
-0.024124,0.028279,-0
-0.024116,0.028285,-0
-0.024105,0.028293,-0
-0.024098,0.028298,-0
-0.02409,0.028304,-0
-0.024082,0.02831,-0
-0.024072,0.028318,-0
-0.024064,0.028323,-0
-0.024056,0.028329,-0
-0.024046,0.028337,-0
-0.024038,0.028342,-0
-0.02403,0.028348,-0
-0.02402,0.028356,-0
-0.024012,0.028361,-0
-0.024004,0.028367,-0
-0.023996,0.028373,-0
-0.023986,0.02838,-0
-0.023978,0.028386,-0
-0.02397,0.028392,-0
-0.02396,0.028399,-0
-0.023952,0.028405,-0
-0.023944,0.028411,-0
-0.023934,0.028418,-0
-0.023926,0.028424,-0
-0.023918,0.02843,-0
-0.02391,0.028435,-0
-0.0239,0.028443,-0
-0.023892,0.028448,-0
-0.023884,0.028454,-0
-0.023874,0.028462,-0
-0.023866,0.028467,-0
-0.023858,0.028473,-0
-0.023848,0.028481,-0
-0.02384,0.028486,-0
-0.023832,0.028492,-0
-0.023824,0.028498,-0
-0.023814,0.028505,-0
-0.023806,0.028511,-0
-0.023798,0.028516,-0
-0.023788,0.028524,-0
-0.02378,0.028529,-0
-0.023772,0.028535,-0
-0.023762,0.028543,-0
-0.023754,0.028548,-0
-0.023746,0.028554,-0
-0.023738,0.028559,-0
-0.023728,0.028567,-0
-0.02372,0.028573,-0
-0.023712,0.028578,-0
-0.023702,0.028586,-0
-0.023694,0.028591,-0
-0.023686,0.028597,-0
-0.023675,0.028604,-0
-0.023668,0.02861,-0
-0.02366,0.028616,-0
-0.023652,0.028621,-0
-0.023641,0.028629,-0
-0.023634,0.028634,-0
-0.023626,0.02864,-0
-0.023615,0.028647,-0
-0.023607,0.028653,-0
-0.023599,0.028658,-0
-0.023589,0.028666,-0
-0.023581,0.028671,-0
-0.023573,0.028677,-0
-0.023565,0.028683,-0
-0.023555,0.02869,-0
-0.023547,0.028696,-0
-0.023539,0.028701,-0
-0.023529,0.028708,-0
-0.023521,0.028714,-0
-0.023513,0.02872,-0
-0.023502,0.028727,-0
-0.023494,0.028733,-0
-0.023487,0.028738,-0
-0.023479,0.028744,-0
-0.023468,0.028751,-0
-0.02346,0.028757,-0
-0.023452,0.028762,-0
-0.023442,0.028769,-0
-0.023434,0.028775,-0
-0.023426,0.028781,-0
-0.023415,0.028788,-0
-0.023408,0.028793,-0
-0.0234,0.028799,-0
-0.023392,0.028804,-0
-0.023381,0.028812,-0
-0.023373,0.028817,-0
-0.023365,0.028823,-0
-0.023355,0.02883,-0
-0.023347,0.028836,-0
-0.023339,0.028841,-0
-0.023329,0.028848,-0
-0.023321,0.028854,-0
-0.023313,0.028859,-0
-0.023305,0.028865,-0
-0.023294,0.028872,-0
-0.023286,0.028878,-0
-0.023278,0.028883,-0
-0.023268,0.028891,-0
-0.02326,0.028896,-0
-0.023252,0.028902,-0
-0.023241,0.028909,-0
-0.023233,0.028914,-0
-0.023226,0.02892,-0
-0.023218,0.028925,-0
-0.023207,0.028933,-0
-0.023199,0.028938,-0
-0.023191,0.028943,-0
-0.023181,0.028951,-0
-0.023173,0.028956,-0
-0.023165,0.028962,-0
-0.023154,0.028969,-0
-0.023146,0.028974,-0
-0.023138,0.02898,-0
-0.02313,0.028985,-0
-0.02312,0.028992,-0
-0.023112,0.028998,-0
-0.023104,0.029003,-0
-0.023093,0.029011,-0
-0.023085,0.029016,-0
-0.023077,0.029021,-0
-0.023067,0.029029,-0
-0.023059,0.029034,-0
-0.023051,0.029039,-0
-0.023043,0.029045,-0
-0.023032,0.029052,-0
-0.023024,0.029057,-0
-0.023016,0.029063,-0
-0.023006,0.02907,-0
-0.022998,0.029075,-0
-0.02299,0.029081,-0
-0.022979,0.029088,-0
-0.022971,0.029093,-0
-0.022963,0.029099,-0
-0.022955,0.029104,-0
-0.022944,0.029111,-0
-0.022936,0.029117,-0
-0.022928,0.029122,-0
-0.022918,0.029129,-0
-0.02291,0.029135,-0
-0.022902,0.02914,-0
-0.022891,0.029147,-0
-0.022883,0.029153,-0
-0.022875,0.029158,-0
-0.022867,0.029163,-0
-0.022857,0.02917,-0
-0.022849,0.029176,-0
-0.022841,0.029181,-0
-0.02283,0.029188,-0
-0.022822,0.029194,-0
-0.022814,0.029199,-0
-0.022803,0.029206,-0
-0.022795,0.029211,-0
-0.022787,0.029217,-0
-0.022779,0.029222,-0
-0.022769,0.029229,-0
-0.022761,0.029235,-0
-0.022753,0.02924,-0
-0.022742,0.029247,-0
-0.022734,0.029252,-0
-0.022726,0.029258,-0
-0.022715,0.029265,-0
-0.022707,0.02927,-0
-0.022699,0.029275,-0
-0.022691,0.029281,-0
-0.02268,0.029288,-0
-0.022672,0.029293,-0
-0.022664,0.029298,-0
-0.022654,0.029305,-0
-0.022646,0.029311,-0
-0.022638,0.029316,-0
-0.022627,0.029323,-0
-0.022619,0.029328,-0
-0.022611,0.029334,-0
-0.022603,0.029339,-0
-0.022592,0.029346,-0
-0.022584,0.029351,-0
-0.022576,0.029356,-0
-0.022565,0.029363,-0
-0.022557,0.029369,-0
-0.022549,0.029374,-0
-0.022538,0.029381,-0
-0.02253,0.029386,-0
-0.022522,0.029391,-0
-0.022514,0.029397,-0
-0.022504,0.029404,-0
-0.022496,0.029409,-0
-0.022487,0.029414,-0
-0.022477,0.029421,-0
-0.022469,0.029426,-0
-0.022461,0.029432,-0
-0.02245,0.029439,-0
-0.022442,0.029444,-0
-0.022434,0.029449,-0
-0.022426,0.029454,-0
-0.022415,0.029461,-0
-0.022407,0.029467,-0
-0.022399,0.029472,-0
-0.022388,0.029479,-0
-0.02238,0.029484,-0
-0.022372,0.029489,-0
-0.022361,0.029496,-0
-0.022353,0.029501,-0
-0.022345,0.029507,-0
-0.022337,0.029512,-0
-0.022326,0.029519,-0
-0.022318,0.029524,-0
-0.02231,0.029529,-0
-0.022299,0.029536,-0
-0.022291,0.029541,-0
-0.022283,0.029546,-0
-0.022272,0.029553,-0
-0.022264,0.029558,-0
-0.022256,0.029564,-0
-0.022248,0.029569,-0
-0.022237,0.029576,-0
-0.022229,0.029581,-0
-0.022221,0.029586,-0
-0.02221,0.029593,-0
-0.022202,0.029598,-0
-0.022194,0.029603,-0
-0.022183,0.02961,-0
-0.022175,0.029615,-0
-0.022167,0.02962,-0
-0.022159,0.029626,-0
-0.022148,0.029632,-0
