28.863,-25.084,0,-0.025084,0.028863,0
28.882,-25.057,0,-0.025057,0.028882,0
28.901,-25.03,0,-0.02503,0.028901,0
28.92,-25.003,0,-0.025003,0.02892,0
28.939,-24.976,0,-0.024976,0.028939,0
28.958,-24.949,0,-0.024949,0.028958,0
28.977,-24.922,0,-0.024922,0.028977,0
28.996,-24.895,0,-0.024895,0.028996,0
29.015,-24.868,0,-0.024868,0.029015,0
29.034,-24.841,0,-0.024841,0.029034,0
29.053,-24.814,0,-0.024814,0.029053,0
29.072,-24.787,0,-0.024787,0.029072,0
29.091,-24.76,0,-0.02476,0.029091,0
29.11,-24.733,0,-0.024733,0.02911,0
29.129,-24.706,0,-0.024706,0.029129,0
29.148,-24.679,0,-0.024679,0.029148,0
29.166,-24.652,0,-0.024652,0.029166,0
29.185,-24.625,0,-0.024625,0.029185,0
29.204,-24.598,0,-0.024598,0.029204,0
29.222,-24.57,0,-0.02457,0.029222,0
29.241,-24.543,0,-0.024543,0.029241,0
29.26,-24.516,0,-0.024516,0.02926,0
29.278,-24.489,0,-0.024489,0.029278,0
29.297,-24.462,0,-0.024462,0.029297,0
29.315,-24.434,0,-0.024434,0.029315,0
29.334,-24.407,0,-0.024407,0.029334,0
29.352,-24.38,0,-0.02438,0.029352,0
29.371,-24.353,0,-0.024353,0.029371,0
29.389,-24.325,0,-0.024325,0.029389,0
29.408,-24.298,0,-0.024298,0.029408,0
29.426,-24.271,0,-0.024271,0.029426,0
29.444,-24.243,0,-0.024243,0.029444,0
29.463,-24.216,0,-0.024216,0.029463,0
29.481,-24.189,0,-0.024189,0.029481,0
29.499,-24.161,0,-0.024161,0.029499,0
29.518,-24.134,0,-0.024134,0.029518,0
29.536,-24.106,0,-0.024106,0.029536,0
29.554,-24.079,0,-0.024079,0.029554,0
29.572,-24.052,0,-0.024052,0.029572,0
29.59,-24.024,0,-0.024024,0.02959,0
29.608,-23.997,0,-0.023997,0.029608,0
29.626,-23.969,0,-0.023969,0.029626,0
29.645,-23.942,0,-0.023942,0.029645,0
29.663,-23.914,0,-0.023914,0.029663,0
29.681,-23.887,0,-0.023887,0.029681,0
29.699,-23.859,0,-0.023859,0.029699,0
29.716,-23.832,0,-0.023832,0.029716,0
29.734,-23.804,0,-0.023804,0.029734,0
29.752,-23.776,0,-0.023776,0.029752,0
29.77,-23.749,0,-0.023749,0.02977,0
29.788,-23.721,0,-0.023721,0.029788,0
29.806,-23.694,0,-0.023694,0.029806,0
29.823,-23.666,0,-0.023666,0.029823,0
29.841,-23.638,0,-0.023638,0.029841,0
29.859,-23.611,0,-0.023611,0.029859,0
29.877,-23.583,0,-0.023583,0.029877,0
29.894,-23.555,0,-0.023555,0.029894,0
29.912,-23.528,0,-0.023528,0.029912,0
29.929,-23.5,0,-0.0235,0.029929,0
29.947,-23.472,0,-0.023472,0.029947,0
