""
"Test Method","Prosthetic Ankle Compression.msm"
"Sample I. D.","Prosthetic Ankle 1-9-18.mss"
"Specimen Number","5"

"Time (s)","Load (N)","Crosshead (mm)"

0.300,8,0.07
0.400,10,0.12
0.500,14,0.17
0.600,29,0.22
0.700,48,0.27
0.800,70,0.32
0.900,94,0.37
1.000,117,0.42
1.100,143,0.47
1.200,168,0.52
1.300,194,0.57
1.400,221,0.62
1.500,248,0.67
1.600,275,0.72
1.700,301,0.77
1.800,329,0.82
1.900,356,0.87
2.000,383,0.92
2.100,411,0.97
2.200,439,1.02
2.300,467,1.07
2.400,494,1.12
2.500,522,1.17
2.600,549,1.22
2.700,578,1.27
2.800,606,1.32
2.900,633,1.37
3.000,660,1.42
3.100,688,1.47
3.200,716,1.52
3.300,743,1.57
3.400,771,1.62
3.500,799,1.67
3.600,827,1.72
3.700,854,1.77
3.800,882,1.82
3.900,910,1.87
4.000,938,1.92
4.100,966,1.97
4.200,994,2.02
4.300,1021,2.07
4.400,1049,2.12
4.500,1077,2.17
4.600,1105,2.22
4.700,1133,2.27
4.800,1161,2.32
4.900,1189,2.37
5.000,1216,2.42
5.100,1244,2.47
5.200,1272,2.52
5.300,1300,2.57
5.400,1327,2.62
5.500,1355,2.67
5.600,1383,2.72
5.700,1411,2.77
5.800,1438,2.82
5.900,1466,2.87
6.000,1494,2.92
6.100,1523,2.97
6.160,1539,3.00
6.300,1552,2.99
6.400,1522,2.94
6.500,1493,2.89
6.600,1463,2.84
6.700,1434,2.79
6.800,1406,2.74
6.900,1377,2.69
7.000,1348,2.64
7.100,1319,2.59
7.200,1291,2.54
7.300,1262,2.49
7.400,1234,2.44
7.500,1205,2.39
7.600,1177,2.34
7.700,1148,2.29
7.800,1120,2.24
7.900,1092,2.19
8.000,1064,2.14
8.100,1036,2.09
8.200,1008,2.04
8.300,980,1.99
8.400,952,1.94
8.500,924,1.89
8.600,896,1.84
8.700,868,1.79
8.800,841,1.74
8.900,813,1.69
9.000,785,1.64
9.100,757,1.59
9.200,729,1.54
9.300,702,1.49
9.400,674,1.44
9.500,647,1.39
9.600,619,1.34
9.700,592,1.29
9.800,563,1.24
9.900,535,1.19
10.000,508,1.14
10.100,481,1.09
10.200,453,1.04
10.300,426,0.99
10.400,399,0.94
10.500,372,0.89
10.600,345,0.84
10.700,318,0.79
10.800,291,0.74
10.900,265,0.69
11.000,239,0.64
11.100,213,0.59
11.200,188,0.54
11.300,162,0.49
11.400,137,0.44
11.500,113,0.39
11.600,89,0.34
11.700,67,0.29
11.800,45,0.24
11.900,26,0.19
12.000,13,0.14
12.100,11,0.09
12.200,9,0.04
12.280,7,0.00


