""
"Test Method","Prosthetic Ankle Compression.msm"
"Sample I. D.","Prosthetic Ankle 1-9-18.mss"
"Specimen Number","16"

"Time (s)","Load (N)","Crosshead (mm)"

0.300,5,0.06
0.400,8,0.11
0.500,10,0.16
0.600,12,0.21
0.700,15,0.26
0.800,17,0.31
0.900,23,0.36
1.000,65,0.41
1.100,223,0.46
1.200,428,0.51
1.300,647,0.56
1.400,875,0.61
1.500,1121,0.66
1.600,1384,0.71
1.700,1653,0.76
1.800,1918,0.81
1.900,2181,0.86
2.000,2444,0.91
2.100,2707,0.96
2.190,2943,1.00
2.300,3174,1.01
2.400,2891,0.96
2.500,2612,0.91
2.600,2335,0.86
2.700,2065,0.81
2.800,1798,0.76
2.900,1529,0.71
3.000,1261,0.66
3.100,1001,0.61
3.200,750,0.56
3.300,518,0.51
3.400,309,0.46
3.500,131,0.41
3.600,22,0.36
3.700,18,0.31
3.800,16,0.26
3.900,14,0.21
4.000,12,0.16
4.100,10,0.11
4.200,8,0.06
4.300,6,0.01
4.320,6,0.00


