""
"Test Method","Prosthetic Ankle Compression.msm"
"Sample I. D.","Prosthetic Ankle 1-9-18.mss"
"Specimen Number","7"

"Time (s)","Load (N)","Crosshead (mm)"

0.300,9,0.07
0.400,12,0.12
0.500,14,0.17
0.600,27,0.22
0.700,52,0.27
0.800,84,0.32
0.900,119,0.37
1.000,157,0.42
1.100,196,0.47
1.200,235,0.52
1.300,274,0.57
1.400,314,0.62
1.500,354,0.67
1.600,394,0.72
1.700,434,0.77
1.800,475,0.82
1.900,514,0.86
2.000,554,0.91
2.100,595,0.96
2.200,634,1.01
2.300,674,1.06
2.400,714,1.11
2.500,754,1.16
2.600,794,1.21
2.700,834,1.26
2.800,874,1.31
2.900,915,1.36
3.000,955,1.41
3.100,995,1.46
3.200,1036,1.51
3.300,1076,1.56
3.400,1117,1.61
3.500,1157,1.66
3.600,1198,1.71
3.700,1238,1.76
3.800,1279,1.81
3.900,1320,1.86
4.000,1360,1.91
4.100,1400,1.96
4.200,1441,2.01
4.300,1482,2.06
4.400,1523,2.11
4.500,1563,2.16
4.600,1604,2.21
4.700,1644,2.26
4.800,1685,2.31
4.900,1725,2.36
5.000,1765,2.41
5.100,1806,2.46
5.200,1846,2.51
5.300,1886,2.56
5.400,1926,2.61
5.500,1966,2.67
5.600,2007,2.71
5.700,2046,2.76
5.800,2086,2.81
5.900,2126,2.86
6.000,2166,2.92
6.100,2206,2.97
6.170,2234,3.00
6.300,2260,2.99
6.400,2216,2.94
6.500,2174,2.90
6.600,2131,2.85
6.700,2089,2.80
6.800,2047,2.75
6.900,2005,2.69
7.000,1963,2.64
7.100,1921,2.59
7.200,1880,2.54
7.300,1838,2.49
7.400,1796,2.44
7.500,1755,2.39
7.600,1714,2.34
7.700,1673,2.29
7.800,1631,2.24
7.900,1590,2.19
8.000,1548,2.15
8.100,1508,2.10
8.200,1466,2.04
8.300,1425,2.00
8.400,1385,1.95
8.500,1344,1.90
8.600,1303,1.84
8.700,1263,1.80
8.800,1223,1.75
8.900,1182,1.70
9.000,1142,1.65
9.100,1101,1.60
9.200,1061,1.55
9.300,1021,1.50
9.400,980,1.45
9.500,941,1.40
9.600,901,1.35
9.700,861,1.30
9.800,821,1.25
9.900,780,1.20
10.000,740,1.15
10.100,701,1.10
10.200,661,1.05
10.300,621,1.00
10.400,582,0.95
10.500,542,0.90
10.600,502,0.85
10.700,463,0.80
10.800,423,0.75
10.900,384,0.70
11.000,345,0.65
11.100,307,0.60
11.200,268,0.55
11.300,230,0.50
11.400,193,0.45
11.500,156,0.40
11.600,119,0.35
11.700,85,0.30
11.800,53,0.25
11.900,27,0.20
12.000,14,0.15
12.100,12,0.10
12.200,10,0.05
12.300,8,0.00
12.300,8,0.00


