""
"Test Method","Prosthetic Ankle Compression.msm"
"Sample I. D.","Prosthetic Ankle 1-9-18.mss"
"Specimen Number","10"

"Time (s)","Load (N)","Crosshead (mm)"

0.300,9,0.06
0.400,11,0.11
0.500,13,0.16
0.600,15,0.21
0.700,23,0.26
0.800,62,0.31
0.900,119,0.36
1.000,183,0.41
1.100,251,0.46
1.200,319,0.51
1.300,389,0.56
1.400,458,0.61
1.500,527,0.66
1.600,596,0.71
1.700,665,0.76
1.800,734,0.81
1.900,803,0.86
2.000,873,0.91
2.100,943,0.96
2.200,1014,1.01
2.300,1085,1.06
2.400,1156,1.11
2.500,1227,1.16
2.600,1298,1.21
2.700,1368,1.26
2.800,1438,1.30
2.900,1509,1.35
3.000,1580,1.40
3.100,1651,1.46
3.200,1721,1.50
3.300,1791,1.55
3.400,1862,1.60
3.500,1932,1.65
3.600,2002,1.70
3.700,2072,1.75
3.800,2143,1.81
3.900,2214,1.86
4.000,2284,1.91
4.100,2354,1.96
4.200,2425,2.00
4.300,2495,2.06
4.400,2566,2.11
4.500,2636,2.16
4.600,2706,2.21
4.700,2776,2.26
4.800,2846,2.31
4.900,2916,2.36
5.000,2986,2.41
5.100,3056,2.46
5.200,3127,2.51
5.300,3197,2.56
5.400,3268,2.61
5.500,3339,2.66
5.600,3409,2.71
5.700,3479,2.76
5.790,3542,2.80
5.900,3594,2.80
6.000,3517,2.75
6.100,3441,2.70
6.200,3365,2.65
6.300,3290,2.60
6.400,3216,2.55
6.500,3143,2.50
6.600,3070,2.45
6.700,2998,2.40
6.800,2928,2.35
6.900,2856,2.30
7.000,2783,2.25
7.100,2711,2.20
7.200,2639,2.15
7.300,2567,2.10
7.400,2495,2.05
7.500,2424,2.00
7.600,2351,1.95
7.700,2280,1.90
7.800,2209,1.85
7.900,2139,1.80
8.000,2068,1.75
8.100,1998,1.70
8.200,1928,1.65
8.300,1857,1.60
8.400,1787,1.55
8.500,1717,1.50
8.600,1647,1.45
8.700,1577,1.40
8.800,1508,1.35
8.900,1438,1.30
9.000,1369,1.25
9.100,1299,1.20
9.200,1230,1.15
9.300,1160,1.10
9.400,1090,1.05
9.500,1020,1.00
9.600,951,0.95
9.700,880,0.90
9.800,811,0.85
9.900,741,0.80
10.000,672,0.75
10.100,603,0.70
10.200,534,0.65
10.300,465,0.60
10.400,398,0.55
10.500,332,0.50
10.600,267,0.45
10.700,201,0.40
10.800,139,0.35
10.900,81,0.30
11.000,33,0.25
11.100,17,0.20
11.200,15,0.15
11.300,13,0.10
11.400,11,0.05
11.500,9,0.00
11.510,8,0.00


