""
"Test Method","Prosthetic Ankle Compression.msm"
"Sample I. D.","Prosthetic Ankle 1-9-18.mss"
"Specimen Number","12"

"Time (s)","Load (N)","Crosshead (mm)"

0.300,8,0.07
0.400,10,0.12
0.500,13,0.17
0.600,15,0.22
0.700,16,0.27
0.800,28,0.32
0.900,84,0.37
1.000,167,0.42
1.100,262,0.47
1.200,361,0.52
1.300,459,0.57
1.400,558,0.62
1.500,658,0.67
1.600,758,0.72
1.700,859,0.77
1.800,962,0.82
1.900,1067,0.87
2.000,1171,0.91
2.100,1275,0.96
2.200,1378,1.01
2.300,1482,1.06
2.400,1585,1.11
2.500,1688,1.16
2.600,1791,1.21
2.700,1895,1.26
2.800,1998,1.31
2.900,2101,1.36
3.000,2204,1.41
3.100,2307,1.46
3.200,2412,1.51
3.300,2515,1.56
3.400,2618,1.61
3.500,2721,1.66
3.600,2824,1.71
3.700,2928,1.76
3.800,3031,1.81
3.900,3135,1.86
4.000,3238,1.91
4.100,3341,1.96
4.200,3444,2.01
4.300,3547,2.06
4.400,3651,2.11
4.500,3756,2.16
4.580,3840,2.20
4.700,3918,2.20
4.800,3801,2.15
4.900,3690,2.10
5.000,3580,2.05
5.100,3471,2.00
5.200,3362,1.95
5.300,3254,1.90
5.400,3147,1.85
5.500,3040,1.80
5.600,2934,1.75
5.700,2828,1.70
5.800,2723,1.65
5.900,2622,1.60
6.000,2517,1.55
6.100,2412,1.50
6.200,2307,1.45
6.300,2203,1.40
6.400,2100,1.35
6.500,1998,1.30
6.600,1894,1.25
6.700,1792,1.20
6.800,1690,1.15
6.900,1588,1.11
7.000,1486,1.05
7.100,1384,1.00
7.200,1284,0.96
7.300,1183,0.91
7.400,1079,0.86
7.500,976,0.81
7.600,872,0.76
7.700,770,0.71
7.800,668,0.66
7.900,567,0.61
8.000,468,0.56
8.100,373,0.51
8.200,279,0.46
8.300,188,0.41
8.400,105,0.36
8.500,40,0.31
8.600,18,0.26
8.700,16,0.21
8.800,13,0.16
8.900,11,0.11
9.000,9,0.06
9.100,7,0.01
9.120,7,0.00


