""
"Test Method","Prosthetic Ankle Compression.msm"
"Sample I. D.","Prosthetic Ankle 1-9-18.mss"
"Specimen Number","14"

"Time (s)","Load (N)","Crosshead (mm)"

0.300,7,0.06
0.400,10,0.11
0.500,12,0.16
0.600,14,0.21
0.700,16,0.26
0.800,18,0.31
0.900,39,0.36
1.000,144,0.41
1.100,282,0.46
1.200,429,0.51
1.300,574,0.56
1.400,721,0.61
1.500,871,0.66
1.600,1027,0.71
1.700,1187,0.76
1.800,1348,0.81
1.900,1507,0.86
2.000,1665,0.91
2.100,1823,0.96
2.200,1982,1.01
2.300,2140,1.06
2.400,2298,1.11
2.500,2457,1.16
2.600,2615,1.21
2.700,2775,1.26
2.800,2933,1.31
2.900,3091,1.36
3.000,3249,1.41
3.100,3409,1.46
3.190,3552,1.50
3.400,3530,1.46
3.500,3362,1.41
3.600,3195,1.36
3.700,3028,1.31
3.800,2862,1.26
3.900,2702,1.21
4.000,2539,1.16
4.100,2376,1.11
4.200,2216,1.06
4.300,2056,1.01
4.400,1899,0.96
4.500,1742,0.91
4.600,1585,0.86
4.700,1428,0.81
4.800,1270,0.76
4.900,1112,0.71
5.000,954,0.66
5.100,797,0.61
5.200,644,0.56
5.300,497,0.51
5.400,357,0.46
5.500,222,0.41
5.600,101,0.36
5.700,24,0.31
5.800,18,0.26
5.900,16,0.21
6.000,13,0.17
6.100,11,0.11
6.200,9,0.06
6.300,7,0.01
6.330,7,0.00


