""
"Test Method","Prosthetic Ankle Compression.msm"
"Sample I. D.","Prosthetic Ankle 1-9-18.mss"
"Specimen Number","4"

"Time (s)","Load (N)","Crosshead (mm)"

0.300,6,0.07
0.400,9,0.12
0.500,11,0.17
0.600,21,0.22
0.700,38,0.27
0.800,58,0.32
0.900,80,0.37
1.000,103,0.42
1.100,128,0.47
1.200,153,0.52
1.300,179,0.57
1.400,205,0.62
1.500,232,0.67
1.600,258,0.72
1.700,285,0.77
1.800,312,0.82
1.900,340,0.87
2.000,367,0.92
2.100,394,0.97
2.200,422,1.02
2.300,450,1.07
2.400,478,1.12
2.500,505,1.17
2.600,533,1.22
2.700,560,1.27
2.800,589,1.32
2.900,616,1.37
3.000,644,1.42
3.100,672,1.47
3.200,700,1.52
3.300,727,1.57
3.400,755,1.62
3.500,783,1.67
3.600,811,1.72
3.700,838,1.77
3.800,866,1.82
3.900,894,1.87
4.000,922,1.92
4.100,950,1.97
4.200,978,2.02
4.300,1005,2.07
4.400,1033,2.12
4.500,1061,2.17
4.600,1089,2.22
4.700,1117,2.27
4.800,1145,2.32
4.900,1173,2.37
5.000,1200,2.42
5.100,1228,2.47
5.200,1256,2.52
5.300,1284,2.57
5.400,1311,2.62
5.500,1339,2.67
5.600,1367,2.72
5.700,1394,2.77
5.800,1422,2.82
5.900,1449,2.87
6.000,1477,2.92
6.100,1505,2.97
6.170,1525,3.00
6.300,1542,2.99
6.400,1512,2.95
6.500,1482,2.90
6.600,1452,2.85
6.700,1423,2.80
6.800,1394,2.75
6.900,1365,2.70
7.000,1336,2.65
7.100,1308,2.60
7.200,1279,2.55
7.300,1251,2.50
7.400,1222,2.45
7.500,1194,2.40
7.600,1165,2.35
7.700,1137,2.30
7.800,1109,2.25
7.900,1081,2.20
8.000,1053,2.15
8.100,1025,2.10
8.200,996,2.05
8.300,968,2.00
8.400,941,1.95
8.500,912,1.90
8.600,884,1.85
8.700,857,1.80
8.800,829,1.75
8.900,801,1.70
9.000,774,1.65
9.100,746,1.60
9.200,718,1.55
9.300,690,1.50
9.400,662,1.45
9.500,635,1.40
9.600,608,1.35
9.700,580,1.30
9.800,551,1.25
9.900,524,1.20
10.000,497,1.15
10.100,469,1.10
10.200,442,1.05
10.300,415,1.00
10.400,388,0.95
10.500,361,0.90
10.600,334,0.85
10.700,307,0.80
10.800,280,0.75
10.900,254,0.70
11.000,228,0.65
11.100,202,0.60
11.200,177,0.55
11.300,152,0.50
11.400,127,0.45
11.500,103,0.40
11.600,80,0.35
11.700,58,0.30
11.800,37,0.25
11.900,20,0.20
12.000,12,0.15
12.100,10,0.10
12.200,8,0.05
12.300,6,0.00
12.300,6,0.00


