Time(s)	Extension(mm)	Load(N)
0.001	0.000	0.000
0.023	0.000	0.000
0.044	0.000	0.000
0.079	0.000	0.000
0.132	0.000	0.000
0.177	0.000	0.000
0.228	0.000	0.000
0.279	0.000	0.000
0.332	0.000	0.000
0.378	0.000	0.000
0.429	0.000	0.000
0.482	0.000	0.000
0.528	0.000	0.000
0.579	0.000	0.000
0.629	0.000	0.000
0.683	0.000	0.000
0.728	0.000	0.000
0.782	0.000	0.000
0.828	0.000	0.000
0.881	0.000	0.000
0.934	-0.000	0.000
1.001	-0.000	0.000
1.050	-0.010	0.000
1.106	-0.010	0.000
1.156	-0.010	0.000
1.199	-0.010	0.000
1.248	-0.020	0.000
1.301	-0.020	0.000
1.356	-0.020	0.000
1.399	-0.020	0.000
1.447	-0.030	0.000
1.497	-0.030	0.000
1.549	-0.030	0.000
1.606	-0.030	0.000
1.649	-0.040	0.000
1.699	-0.040	0.000
1.747	-0.040	0.001
1.800	-0.040	0.000
1.859	-0.050	0.000
1.906	-0.050	0.001
1.949	-0.050	0.000
2.001	-0.050	0.001
2.055	-0.060	0.000
2.098	-0.060	0.000
2.151	-0.060	0.001
2.197	-0.060	0.001
2.247	-0.070	0.001
2.299	-0.070	0.001
2.351	-0.070	0.000
2.406	-0.070	0.000
2.449	-0.080	0.001
2.501	-0.080	0.001
2.548	-0.080	0.000
2.591	-0.080	-0.001
2.656	-0.090	-0.001
2.697	-0.090	-0.002
2.757	-0.090	-0.002
2.799	-0.090	-0.002
2.848	-0.100	-0.003
2.899	-0.100	-0.003
2.950	-0.100	-0.003
3.006	-0.100	-0.004
3.056	-0.110	-0.005
3.099	-0.110	-0.005
3.149	-0.110	-0.005
3.206	-0.110	-0.005
3.248	-0.120	-0.006
3.299	-0.120	-0.006
3.350	-0.120	-0.006
3.400	-0.120	-0.007
3.456	-0.130	-0.007
3.497	-0.130	-0.008
3.549	-0.130	-0.008
3.606	-0.130	-0.008
3.656	-0.140	-0.009
3.699	-0.140	-0.009
3.749	-0.140	-0.009
3.801	-0.140	-0.010
3.851	-0.150	-0.010
3.898	-0.150	-0.010
3.951	-0.150	-0.011
3.998	-0.150	-0.011
4.049	-0.160	-0.011
4.108	-0.160	-0.012
4.150	-0.160	-0.012
4.201	-0.160	-0.013
4.248	-0.170	-0.013
4.301	-0.170	-0.013
4.356	-0.170	-0.014
4.406	-0.170	-0.014
4.449	-0.180	-0.014
4.500	-0.180	-0.015
4.559	-0.180	-0.015
4.597	-0.180	-0.016
4.650	-0.190	-0.016
4.706	-0.190	-0.016
4.756	-0.190	-0.017
4.799	-0.190	-0.017
4.849	-0.200	-0.017
4.901	-0.200	-0.018
4.956	-0.200	-0.019
5.000	-0.200	-0.019
5.055	-0.210	-0.019
5.105	-0.210	-0.020
5.148	-0.210	-0.020
5.198	-0.210	-0.020
5.249	-0.220	-0.021
5.300	-0.220	-0.021
5.355	-0.220	-0.021
5.399	-0.220	-0.022
5.458	-0.230	-0.022
5.500	-0.230	-0.023
5.550	-0.230	-0.023
5.605	-0.230	-0.023
5.656	-0.240	-0.024
5.699	-0.240	-0.024
5.751	-0.240	-0.025
5.797	-0.240	-0.025
5.847	-0.250	-0.026
5.906	-0.250	-0.026
5.948	-0.250	-0.026
5.999	-0.250	-0.027
6.050	-0.260	-0.027
6.098	-0.260	-0.028
6.149	-0.260	-0.028
6.199	-0.260	-0.029
6.250	-0.270	-0.030
6.301	-0.270	-0.030
6.347	-0.270	-0.031
6.397	-0.270	-0.031
6.450	-0.280	-0.032
6.501	-0.280	-0.032
6.551	-0.280	-0.033
6.597	-0.280	-0.034
6.647	-0.290	-0.034
6.699	-0.290	-0.035
6.749	-0.290	-0.035
6.805	-0.290	-0.036
6.848	-0.300	-0.037
6.898	-0.300	-0.037
6.949	-0.300	-0.038
6.999	-0.300	-0.039
7.051	-0.310	-0.039
7.101	-0.310	-0.040
7.148	-0.310	-0.040
7.200	-0.310	-0.041
7.259	-0.320	-0.042
7.301	-0.320	-0.043
7.352	-0.320	-0.044
7.398	-0.320	-0.045
7.448	-0.330	-0.046
7.499	-0.330	-0.046
7.555	-0.330	-0.047
7.598	-0.330	-0.048
7.648	-0.340	-0.049
7.707	-0.340	-0.050
7.749	-0.340	-0.051
7.799	-0.340	-0.052
7.851	-0.350	-0.053
7.898	-0.350	-0.054
7.949	-0.350	-0.054
7.999	-0.350	-0.055
8.051	-0.360	-0.056
8.101	-0.360	-0.057
8.147	-0.360	-0.058
8.197	-0.360	-0.059
8.250	-0.370	-0.060
8.301	-0.370	-0.060
8.351	-0.370	-0.061
8.397	-0.370	-0.061
8.448	-0.380	-0.062
8.499	-0.380	-0.062
8.549	-0.380	-0.063
8.601	-0.380	-0.064
8.648	-0.390	-0.064
8.698	-0.390	-0.064
8.749	-0.390	-0.065
8.799	-0.390	-0.066
8.851	-0.400	-0.066
8.901	-0.400	-0.067
8.948	-0.400	-0.067
9.000	-0.400	-0.068
9.059	-0.410	-0.068
9.105	-0.410	-0.069
9.155	-0.410	-0.069
9.198	-0.410	-0.070
9.248	-0.420	-0.070
9.299	-0.420	-0.071
9.351	-0.420	-0.072
9.398	-0.420	-0.072
9.447	-0.430	-0.073
9.506	-0.430	-0.073
9.548	-0.430	-0.074
9.598	-0.430	-0.074
9.649	-0.440	-0.075
9.701	-0.440	-0.076
9.748	-0.440	-0.077
9.797	-0.440	-0.077
9.849	-0.450	-0.078
9.899	-0.450	-0.078
9.957	-0.450	-0.079
10.000	-0.450	-0.079
10.047	-0.460	-0.080
10.098	-0.460	-0.081
10.148	-0.460	-0.082
10.199	-0.460	-0.082
10.249	-0.470	-0.083
10.301	-0.470	-0.084
10.351	-0.470	-0.085
10.407	-0.470	-0.085
10.448	-0.480	-0.087
10.499	-0.480	-0.088
10.549	-0.480	-0.089
10.599	-0.480	-0.090
10.651	-0.490	-0.091
10.701	-0.490	-0.092
10.747	-0.490	-0.093
10.799	-0.490	-0.094
10.857	-0.500	-0.095
10.899	-0.500	-0.096
10.949	-0.500	-0.097
11.001	-0.500	-0.099
11.051	-0.510	-0.099
11.105	-0.510	-0.100
11.149	-0.510	-0.101
11.206	-0.510	-0.102
11.257	-0.520	-0.103
11.309	-0.520	-0.104
11.357	-0.520	-0.106
11.399	-0.520	-0.107
11.456	-0.530	-0.108
11.501	-0.530	-0.108
11.557	-0.530	-0.109
11.600	-0.530	-0.110
11.657	-0.540	-0.111
11.700	-0.540	-0.113
11.760	-0.540	-0.114
11.799	-0.540	-0.115
11.856	-0.550	-0.116
11.901	-0.550	-0.117
11.955	-0.550	-0.117
11.999	-0.550	-0.118
12.051	-0.560	-0.120
12.099	-0.560	-0.121
12.151	-0.560	-0.122
12.200	-0.560	-0.123
12.257	-0.570	-0.124
12.298	-0.570	-0.125
12.351	-0.570	-0.126
12.407	-0.570	-0.127
12.451	-0.580	-0.128
12.506	-0.580	-0.130
12.551	-0.580	-0.131
12.599	-0.580	-0.132
12.659	-0.590	-0.133
12.707	-0.590	-0.134
12.750	-0.590	-0.135
12.807	-0.590	-0.136
12.849	-0.600	-0.138
12.906	-0.600	-0.139
12.951	-0.600	-0.140
12.999	-0.600	-0.141
13.050	-0.610	-0.142
13.111	-0.610	-0.143
13.149	-0.610	-0.144
13.201	-0.610	-0.145
13.249	-0.620	-0.146
13.306	-0.620	-0.148
13.350	-0.620	-0.149
13.401	-0.620	-0.150
13.449	-0.630	-0.151
13.501	-0.630	-0.152
13.556	-0.630	-0.153
13.600	-0.630	-0.154
13.649	-0.640	-0.155
13.706	-0.640	-0.157
13.757	-0.640	-0.158
13.801	-0.640	-0.159
13.857	-0.650	-0.160
13.900	-0.650	-0.161
13.956	-0.650	-0.162
14.001	-0.650	-0.163
14.049	-0.660	-0.164
14.100	-0.660	-0.165
14.157	-0.660	-0.166
14.199	-0.660	-0.167
14.256	-0.670	-0.168
14.299	-0.670	-0.169
14.355	-0.670	-0.169
14.401	-0.670	-0.170
14.461	-0.680	-0.171
14.499	-0.680	-0.172
14.551	-0.680	-0.173
14.599	-0.680	-0.173
14.650	-0.690	-0.173
14.707	-0.690	-0.174
14.756	-0.690	-0.174
14.800	-0.690	-0.175
14.855	-0.700	-0.175
14.907	-0.700	-0.176
14.951	-0.700	-0.177
15.007	-0.700	-0.177
15.051	-0.710	-0.178
15.099	-0.710	-0.178
15.156	-0.710	-0.178
15.207	-0.710	-0.179
15.251	-0.720	-0.180
15.307	-0.720	-0.181
15.359	-0.720	-0.181
15.406	-0.720	-0.182
15.451	-0.730	-0.183
15.499	-0.730	-0.183
15.551	-0.730	-0.184
15.607	-0.730	-0.184
15.650	-0.740	-0.185
15.707	-0.740	-0.186
15.749	-0.740	-0.187
15.807	-0.740	-0.188
15.851	-0.750	-0.188
15.906	-0.750	-0.189
15.950	-0.750	-0.190
16.006	-0.750	-0.190
16.050	-0.760	-0.191
16.101	-0.760	-0.192
16.150	-0.760	-0.193
16.207	-0.760	-0.194
16.259	-0.770	-0.194
16.307	-0.770	-0.195
16.349	-0.770	-0.195
16.406	-0.770	-0.196
16.457	-0.780	-0.197
16.501	-0.780	-0.198
16.550	-0.780	-0.200
16.607	-0.780	-0.201
16.649	-0.790	-0.201
16.710	-0.790	-0.202
16.749	-0.790	-0.203
16.801	-0.790	-0.205
16.857	-0.800	-0.206
16.906	-0.800	-0.207
16.950	-0.800	-0.209
17.001	-0.800	-0.210
17.050	-0.810	-0.210
17.101	-0.810	-0.212
17.157	-0.810	-0.213
17.201	-0.810	-0.214
17.249	-0.820	-0.215
17.306	-0.820	-0.216
17.349	-0.820	-0.218
17.401	-0.820	-0.219
17.457	-0.830	-0.220
17.500	-0.830	-0.221
17.551	-0.830	-0.222
17.600	-0.830	-0.223
17.657	-0.840	-0.224
17.699	-0.840	-0.226
17.751	-0.840	-0.227
17.806	-0.840	-0.229
17.850	-0.850	-0.229
17.901	-0.850	-0.230
17.949	-0.850	-0.231
18.007	-0.850	-0.233
18.058	-0.860	-0.234
18.102	-0.860	-0.235
18.157	-0.860	-0.237
18.201	-0.860	-0.238
18.252	-0.870	-0.239
18.308	-0.870	-0.240
18.356	-0.870	-0.241
18.400	-0.870	-0.242
18.452	-0.880	-0.244
18.512	-0.880	-0.245
18.551	-0.880	-0.246
18.602	-0.880	-0.248
18.658	-0.890	-0.249
18.706	-0.890	-0.250
18.750	-0.890	-0.251
18.802	-0.890	-0.252
18.858	-0.900	-0.253
18.900	-0.900	-0.255
18.961	-0.900	-0.256
19.000	-0.900	-0.258
19.057	-0.910	-0.259
19.100	-0.910	-0.260
19.152	-0.910	-0.260
19.208	-0.910	-0.262
19.250	-0.920	-0.263
19.308	-0.920	-0.265
19.350	-0.920	-0.266
