""
"Test Method","Prosthetic Ankle Compression.msm"
"Sample I. D.","Prosthetic Ankle 1-9-18.mss"
"Specimen Number","6"

"Time (s)","Load (N)","Crosshead (mm)"

0.300,8,0.07
0.400,10,0.12
0.500,13,0.17
0.600,23,0.22
0.700,44,0.27
0.800,71,0.32
0.900,99,0.37
1.000,129,0.42
1.100,159,0.47
1.200,191,0.52
1.300,223,0.57
1.400,256,0.62
1.500,289,0.67
1.600,322,0.72
1.700,355,0.77
1.800,389,0.82
1.900,422,0.87
2.000,455,0.91
2.100,489,0.96
2.200,522,1.01
2.300,555,1.06
2.400,589,1.11
2.500,622,1.16
2.600,655,1.21
2.700,688,1.26
2.800,722,1.31
2.900,755,1.36
3.000,788,1.41
3.100,821,1.46
3.200,855,1.51
3.300,889,1.56
3.400,922,1.61
3.500,956,1.66
3.600,990,1.71
3.700,1023,1.76
3.800,1057,1.81
3.900,1091,1.86
4.000,1124,1.91
4.100,1158,1.96
4.200,1191,2.01
4.300,1225,2.06
4.400,1259,2.11
4.500,1292,2.16
4.600,1326,2.21
4.700,1360,2.26
4.800,1393,2.31
4.900,1427,2.36
5.000,1460,2.41
5.100,1495,2.46
5.200,1528,2.51
5.300,1562,2.56
5.400,1595,2.61
5.500,1628,2.66
5.600,1662,2.72
5.700,1695,2.77
5.800,1728,2.81
5.900,1761,2.87
6.000,1794,2.92
6.100,1828,2.97
6.170,1851,3.00
6.300,1868,2.99
6.400,1832,2.94
6.500,1797,2.89
6.600,1762,2.84
6.700,1726,2.79
6.800,1691,2.74
6.900,1657,2.69
7.000,1622,2.64
7.100,1587,2.59
7.200,1553,2.54
7.300,1518,2.49
7.400,1483,2.44
7.500,1448,2.39
7.600,1414,2.34
7.700,1380,2.29
7.800,1345,2.24
7.900,1312,2.19
8.000,1278,2.14
8.100,1244,2.09
8.200,1210,2.04
8.300,1176,1.99
8.400,1142,1.94
8.500,1109,1.89
8.600,1075,1.84
8.700,1041,1.79
8.800,1008,1.74
8.900,974,1.69
9.000,940,1.64
9.100,907,1.59
9.200,873,1.54
9.300,840,1.49
9.400,807,1.44
9.500,773,1.39
9.600,740,1.34
9.700,707,1.29
9.800,674,1.24
9.900,641,1.19
10.000,608,1.14
10.100,574,1.09
10.200,540,1.04
10.300,507,0.99
10.400,475,0.94
10.500,443,0.89
10.600,410,0.84
10.700,377,0.79
10.800,344,0.74
10.900,312,0.69
11.000,280,0.64
11.100,248,0.59
11.200,217,0.54
11.300,186,0.49
11.400,155,0.44
11.500,125,0.39
11.600,97,0.34
11.700,69,0.29
11.800,44,0.24
11.900,22,0.19
12.000,13,0.14
12.100,11,0.09
12.200,9,0.04
12.290,7,0.00


