""
"Test Method","Prosthetic Ankle Compression.msm"
"Sample I. D.","Prosthetic Ankle 1-9-18.mss"
"Specimen Number","2"

"Time (s)","Load (N)","Crosshead (mm)"

0.300,3,0.07
0.400,4,0.12
0.500,8,0.17
0.600,17,0.22
0.700,31,0.27
0.800,46,0.32
0.900,62,0.37
1.000,79,0.42
1.100,96,0.47
1.200,114,0.52
1.300,132,0.57
1.400,150,0.62
1.500,168,0.67
1.600,187,0.72
1.700,205,0.77
1.800,224,0.82
1.900,242,0.87
2.000,261,0.92
2.100,280,0.97
2.200,298,1.02
2.300,317,1.07
2.400,336,1.12
2.500,355,1.17
2.600,374,1.22
2.700,392,1.27
2.800,411,1.32
2.900,430,1.37
3.000,449,1.42
3.100,467,1.47
3.200,486,1.52
3.300,505,1.57
3.400,524,1.62
3.500,542,1.67
3.600,561,1.72
3.700,581,1.77
3.800,600,1.82
3.900,619,1.87
4.000,638,1.92
4.100,657,1.97
4.200,675,2.02
4.300,694,2.07
4.400,713,2.12
4.500,732,2.17
4.600,751,2.22
4.700,769,2.27
4.800,789,2.32
4.900,807,2.37
5.000,826,2.42
5.100,845,2.47
5.200,864,2.52
5.300,883,2.57
5.400,901,2.62
5.500,920,2.67
5.600,939,2.72
5.700,958,2.77
5.800,976,2.82
5.900,995,2.87
6.000,1013,2.92
6.100,1032,2.97
6.170,1045,3.00
6.300,1059,3.00
6.400,1038,2.95
6.500,1018,2.90
6.600,999,2.85
6.700,979,2.80
6.800,959,2.75
6.900,940,2.70
7.000,921,2.65
7.100,901,2.60
7.200,882,2.55
7.300,863,2.50
7.400,843,2.45
7.500,824,2.40
7.600,804,2.35
7.700,785,2.30
7.800,766,2.25
7.900,747,2.20
8.000,728,2.15
8.100,709,2.10
8.200,690,2.05
8.300,670,2.00
8.400,651,1.95
8.500,633,1.90
8.600,614,1.85
8.700,595,1.80
8.800,576,1.75
8.900,556,1.70
9.000,537,1.65
9.100,518,1.60
9.200,500,1.55
9.300,481,1.50
9.400,462,1.45
9.500,443,1.40
9.600,425,1.35
9.700,406,1.30
9.800,387,1.25
9.900,369,1.20
10.000,350,1.15
10.100,332,1.10
10.200,313,1.05
10.300,294,1.00
10.400,276,0.95
10.500,257,0.90
10.600,239,0.85
10.700,221,0.80
10.800,202,0.75
10.900,184,0.70
11.000,166,0.65
11.100,149,0.60
11.200,131,0.55
11.300,113,0.50
11.400,96,0.45
11.500,79,0.40
11.600,63,0.35
11.700,47,0.30
11.800,31,0.25
11.900,18,0.20
12.000,8,0.15
12.100,6,0.10
12.200,4,0.05
12.300,4,0.00
12.300,4,0.00


