""
"Test Method","Prosthetic Ankle Compression.msm"
"Sample I. D.","Prosthetic Ankle 1-9-18.mss"
"Specimen Number","11"

"Time (s)","Load (N)","Crosshead (mm)"

0.300,8,0.06
0.400,11,0.11
0.500,13,0.16
0.600,15,0.21
0.700,17,0.26
0.800,42,0.31
0.900,101,0.36
1.000,175,0.41
1.100,255,0.46
1.200,337,0.51
1.300,420,0.56
1.400,502,0.61
1.500,585,0.66
1.600,667,0.71
1.700,750,0.76
1.800,834,0.81
1.900,918,0.86
2.000,1003,0.91
2.100,1089,0.96
2.200,1175,1.01
2.300,1260,1.06
2.400,1345,1.11
2.500,1429,1.16
2.600,1515,1.21
2.700,1600,1.26
2.800,1685,1.31
2.900,1769,1.36
3.000,1854,1.41
3.100,1940,1.46
3.200,2025,1.51
3.300,2109,1.56
3.400,2194,1.61
3.500,2279,1.66
3.600,2364,1.71
3.700,2450,1.76
3.800,2535,1.81
3.900,2620,1.86
4.000,2705,1.91
4.100,2790,1.96
4.200,2875,2.01
4.300,2959,2.06
4.400,3044,2.11
4.500,3129,2.16
4.600,3214,2.21
4.700,3299,2.26
4.800,3385,2.31
4.900,3470,2.36
5.000,3556,2.41
5.100,3640,2.46
5.200,3726,2.51
5.300,3811,2.56
5.390,3887,2.60
5.600,3872,2.56
5.700,3781,2.51
5.800,3692,2.46
5.900,3601,2.41
6.000,3512,2.36
6.100,3423,2.31
6.200,3334,2.26
6.300,3245,2.21
6.400,3157,2.16
6.500,3070,2.11
6.600,2983,2.06
6.700,2895,2.01
6.800,2809,1.96
6.900,2726,1.91
7.000,2639,1.86
7.100,2553,1.81
7.200,2467,1.76
7.300,2381,1.71
7.400,2295,1.66
7.500,2209,1.61
7.600,2124,1.56
7.700,2040,1.51
7.800,1954,1.46
7.900,1870,1.41
8.000,1787,1.36
8.100,1703,1.31
8.200,1619,1.26
8.300,1535,1.21
8.400,1451,1.16
8.500,1368,1.11
8.600,1284,1.06
8.700,1201,1.01
8.800,1117,0.96
8.900,1033,0.91
9.000,949,0.86
9.100,864,0.81
9.200,779,0.76
9.300,696,0.71
9.400,613,0.66
9.500,529,0.61
9.600,448,0.56
9.700,369,0.51
9.800,291,0.46
9.900,214,0.41
10.000,140,0.36
10.100,74,0.31
10.200,26,0.26
10.300,16,0.21
10.400,15,0.16
10.500,12,0.11
10.600,10,0.06
10.700,8,0.01
10.730,8,0.00


