""
"Test Method","Prosthetic Ankle Compression.msm"
"Sample I. D.","Prosthetic Ankle 1-9-18.mss"
"Specimen Number","13"

"Time (s)","Load (N)","Crosshead (mm)"

0.300,8,0.06
0.400,11,0.11
0.500,13,0.16
0.600,15,0.21
0.700,17,0.26
0.800,27,0.31
0.900,92,0.36
1.000,197,0.41
1.100,315,0.46
1.200,435,0.51
1.300,554,0.56
1.400,675,0.61
1.500,797,0.66
1.600,921,0.71
1.700,1049,0.76
1.800,1178,0.81
1.900,1306,0.86
2.000,1433,0.91
2.100,1560,0.96
2.200,1688,1.01
2.300,1814,1.06
2.400,1941,1.11
2.500,2068,1.16
2.600,2195,1.21
2.700,2321,1.26
2.800,2449,1.31
2.900,2576,1.36
3.000,2703,1.41
3.100,2831,1.46
3.200,2958,1.51
3.300,3085,1.56
3.400,3211,1.61
3.500,3338,1.66
3.600,3466,1.71
3.700,3592,1.76
3.790,3706,1.80
3.900,3814,1.81
4.000,3676,1.76
4.100,3540,1.71
4.200,3405,1.66
4.300,3270,1.61
4.400,3137,1.56
4.500,3004,1.51
4.600,2874,1.46
4.700,2744,1.41
4.800,2621,1.36
4.900,2492,1.31
5.000,2362,1.26
5.100,2233,1.21
5.200,2105,1.16
5.300,1978,1.11
5.400,1852,1.06
5.500,1726,1.01
5.600,1602,0.96
5.700,1476,0.91
5.800,1352,0.86
5.900,1226,0.81
6.000,1099,0.76
6.100,972,0.71
6.200,845,0.66
6.300,719,0.61
6.400,595,0.56
6.500,475,0.51
6.600,360,0.46
6.700,247,0.41
6.800,141,0.36
6.900,54,0.31
7.000,19,0.26
7.100,16,0.21
7.200,14,0.16
7.300,12,0.11
7.400,10,0.06
7.500,8,0.01
7.530,7,0.00


