""
"Test Method","Prosthetic Ankle Compression.msm"
"Sample I. D.","Prosthetic Ankle 1-9-18.mss"
"Specimen Number","1"

"Time (s)","Load (N)","Crosshead (mm)"

0.300,13,0.06
0.400,23,0.11
0.500,35,0.16
0.600,47,0.21
0.700,59,0.26
0.800,72,0.31
0.900,85,0.36
1.000,98,0.41
1.100,111,0.46
1.200,124,0.51
1.300,138,0.56
1.400,153,0.61
1.500,168,0.66
1.600,183,0.71
1.700,198,0.76
1.800,213,0.81
1.900,229,0.86
2.000,244,0.91
2.100,259,0.96
2.200,275,1.01
2.300,290,1.06
2.400,305,1.11
2.500,320,1.16
2.600,336,1.21
2.700,351,1.26
2.800,366,1.31
2.900,382,1.36
3.000,397,1.41
3.100,412,1.46
3.200,428,1.51
3.300,443,1.56
3.400,458,1.61
3.500,474,1.66
3.600,489,1.71
3.700,504,1.76
3.800,520,1.81
3.900,535,1.86
4.000,550,1.91
4.100,566,1.96
4.200,582,2.01
4.300,597,2.06
4.400,613,2.11
4.500,628,2.16
4.600,643,2.21
4.700,658,2.26
4.800,674,2.31
4.900,689,2.36
5.000,705,2.41
5.100,720,2.46
5.200,735,2.51
5.300,751,2.56
5.400,766,2.61
5.500,782,2.66
5.600,797,2.71
5.700,812,2.76
5.800,827,2.81
5.900,843,2.86
6.000,858,2.91
6.100,873,2.96
6.190,887,3.00
6.300,898,3.00
6.400,883,2.95
6.500,867,2.90
6.600,850,2.85
6.700,834,2.80
6.800,818,2.75
6.900,802,2.70
7.000,786,2.65
7.100,769,2.60
7.200,754,2.55
7.300,738,2.50
7.400,722,2.45
7.500,706,2.40
7.600,690,2.35
7.700,674,2.30
7.800,659,2.26
7.900,643,2.20
8.000,627,2.15
8.100,611,2.11
8.200,596,2.05
8.300,580,2.00
8.400,564,1.95
8.500,548,1.91
8.600,532,1.86
8.700,517,1.81
8.800,501,1.76
8.900,486,1.71
9.000,470,1.65
9.100,455,1.61
9.200,439,1.56
9.300,424,1.51
9.400,409,1.46
9.500,394,1.41
9.600,378,1.36
9.700,362,1.31
9.800,347,1.26
9.900,331,1.21
10.000,316,1.16
10.100,301,1.11
10.200,286,1.06
10.300,271,1.01
10.400,255,0.96
10.500,240,0.91
10.600,225,0.86
10.700,210,0.81
10.800,195,0.76
10.900,179,0.71
11.000,165,0.66
11.100,150,0.61
11.200,135,0.56
11.300,120,0.51
11.400,105,0.46
11.500,91,0.41
11.600,77,0.36
11.700,63,0.31
11.800,51,0.26
11.900,40,0.21
12.000,30,0.16
12.100,21,0.11
12.200,13,0.06
12.300,5,0.01
12.320,4,0.00


